City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
121,Komsomolskiy,UZ,2022-05-16 May:44:32,40.4272,71.7189,290.55,63,68,1.03
122,Puerto Ayora,EC,2022-05-16 May:44:33,-0.7393,-90.3518,296.79,94,82,3.1
123,Krasnyy Chikoy,RU,2022-05-16 May:44:33,50.3643,108.7512,286.78,41,67,1.23
124,Sitka,US,2022-05-16 May:44:33,57.0531,-135.33,282.09,66,100,2.57
125,Narsaq,GL,2022-05-16 May:44:34,60.9167,-46.05,283.27,66,100,1.3
126,Joao Pinheiro,BR,2022-05-16 May:44:35,-17.7425,-46.1725,291.37,87,63,1.6
127,Lorengau,PG,2022-05-16 May:44:35,-2.0226,147.2712,302.39,67,50,3.41
128,Meulaboh,ID,2022-05-16 May:44:35,4.1363,96.1285,298.01,88,95,2.31
129,Nikolskoye,RU,2022-05-16 May:44:36,59.7035,30.7861,281.41,94,100,2.64
130,Yatou,CN,2022-05-16 May:44:36,37.15,122.3833,292.14,56,0,1.23
131,Leningradskiy,RU,2022-05-16 May:44:37,69.3833,178.4167,271.76,88,100,5.78
132,Manokwari,ID,2022-05-16 May:43:05,-0.8667,134.0833,301.67,65,43,2.45
133,Albany,US,2022-05-16 May:42:58,42.6001,-73.9662,290.94,93,81,4.71
134,Kruisfontein,ZA,2022-05-16 May:44:37,-34.0033,24.7314,293.09,29,0,4.93
135,Butaritari,KI,2022-05-16 May:44:38,3.0707,172.7902,301.26,69,79,4.9
136,Vila Do Maio,CV,2022-05-16 May:44:38,15.1333,-23.2167,299.59,89,55,7.32
137,Gornopravdinsk,RU,2022-05-16 May:44:38,60.05,69.9,282.63,94,97,1.38
138,Vestmanna,FO,2022-05-16 May:44:39,62.1564,-7.1664,280.66,76,40,9.26
139,Mulanje,MW,2022-05-16 May:44:39,-16.0316,35.5,289.57,99,56,2.13
140,Bandarbeyla,SO,2022-05-16 May:45:40,9.4942,50.8122,301.21,72,86,9.25
141,Rivers,CA,2022-05-16 May:45:40,50.0308,-100.2403,287.68,58,81,6.26
142,Ouesso,CG,2022-05-16 May:45:40,1.6136,16.0517,295.42,94,68,0.15
143,Vila Velha,BR,2022-05-16 May:42:34,-20.3297,-40.2925,297.12,78,0,0.0
144,Naze,JP,2022-05-16 May:45:41,28.3667,129.4833,290.66,82,100,4.94
145,Aykhal,RU,2022-05-16 May:45:41,66.0,111.5,273.91,93,100,3.57
146,Bredasdorp,ZA,2022-05-16 May:45:42,-34.5322,20.0403,291.49,26,57,2.04
147,Sao Jose Da Coroa Grande,BR,2022-05-16 May:45:42,-8.8978,-35.1478,298.8,87,34,2.54
148,Payo,ID,2022-05-16 May:45:43,-3.7508,103.6372,296.49,96,98,0.43
149,Ribeira Grande,PT,2022-05-16 May:45:43,38.5167,-28.7,287.64,64,48,10.84
150,Vangaindrano,MG,2022-05-16 May:45:43,-23.35,47.6,293.33,81,81,3.53
151,Smolenka,RU,2022-05-16 May:45:44,52.1352,113.4974,284.19,37,79,2.0
152,Salalah,OM,2022-05-16 May:45:44,17.0151,54.0924,301.2,78,20,1.54
153,Los Llanos De Aridane,ES,2022-05-16 May:45:45,28.6585,-17.9182,291.01,84,75,2.06
154,Paris,FR,2022-05-16 May:43:44,48.8534,2.3488,293.77,76,0,2.57
155,Clyde River,CA,2022-05-16 May:42:09,70.4692,-68.5914,271.28,86,20,4.12
156,Oksfjord,NO,2022-05-16 May:45:45,70.2396,22.3479,275.25,88,100,3.66
157,Shangzhi,CN,2022-05-16 May:45:45,45.2167,127.9667,289.97,37,82,7.11
158,Chara,RU,2022-05-16 May:45:46,56.9064,118.2631,277.36,72,56,1.02
159,Sabya,SA,2022-05-16 May:45:46,17.1495,42.6254,300.94,57,0,0.84
160,Kavaratti,IN,2022-05-16 May:42:15,10.5669,72.642,299.94,87,100,7.75
161,New Norfolk,AU,2022-05-16 May:45:47,-42.7826,147.0587,284.22,76,91,2.68
162,Megion,RU,2022-05-16 May:45:47,61.0296,76.1136,285.16,92,100,3.36
163,Cidreira,BR,2022-05-16 May:45:47,-30.1811,-50.2056,285.52,71,36,9.45
164,Cobija,BO,2022-05-16 May:45:48,-11.0267,-68.7692,292.74,93,98,2.04
165,Katsuura,JP,2022-05-16 May:45:48,35.1333,140.3,290.53,82,100,4.59
166,Payakumbuh,ID,2022-05-16 May:45:49,-0.2202,100.6308,295.07,78,100,0.96
167,Kaeo,NZ,2022-05-16 May:45:49,-35.1,173.7833,294.27,71,91,5.11
168,Hamilton,US,2022-05-16 May:45:18,39.1834,-84.5333,297.62,44,40,5.14
169,Faya,SA,2022-05-16 May:45:49,18.3851,42.4509,291.44,10,0,1.94
170,Secovce,SK,2022-05-16 May:45:50,48.7007,21.661,288.53,77,94,1.79
171,Raudeberg,NO,2022-05-16 May:45:50,61.9875,5.1352,283.52,76,0,2.03
172,Mayo,US,2022-05-16 May:45:51,38.8876,-76.5119,295.12,87,75,3.09
173,Burns Lake,CA,2022-05-16 May:45:51,54.2331,-125.7533,283.83,35,87,5.92
174,Kralendijk,BQ,2022-05-16 May:45:51,12.15,-68.2667,300.14,83,40,8.75
175,Agirish,RU,2022-05-16 May:45:52,61.9247,63.0231,280.15,84,41,1.59
176,Maarianhamina,AX,2022-05-16 May:45:52,60.0973,19.9348,279.07,65,0,3.09
177,Nome,US,2022-05-16 May:45:53,64.5011,-165.4064,279.35,56,0,4.63
178,Pangkalanbuun,ID,2022-05-16 May:45:53,-2.6833,111.6167,299.43,86,95,0.65
179,Bagnols-Sur-Ceze,FR,2022-05-16 May:45:53,44.1599,4.6178,291.84,78,0,0.0
180,Vaitape,PF,2022-05-16 May:43:06,-16.5167,-151.75,299.94,75,87,6.64
181,Vagur,FO,2022-05-16 May:45:54,61.4732,-6.8119,280.87,90,99,11.79
