City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
105,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
109,Vanimo,PG,83.05,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
110,Cockburn Town,TC,79.93,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
113,Nizwa,OM,82.85,few clouds,22.9333,57.5333,Orient Apartments
116,Kokoda,PG,81.91,scattered clouds,-8.8785,147.7407,Daito Guest House
121,Gondanglegi,ID,75.22,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
122,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
125,Quatre Cocos,MU,75.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
127,Dingzhou,CN,77.92,clear sky,38.5131,114.9956,宜家时尚宾馆
128,Bubaque,GW,78.91,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
129,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
138,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
139,San Patricio,US,86.72,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
140,Parnamirim,BR,82.29,light rain,-5.9156,-35.2628,Pousada Joaci
142,Bodden Town,KY,82.99,few clouds,19.2833,-81.25,Will T Place
150,Coahuayana,MX,81.9,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
154,Bengkulu,ID,76.32,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
166,Cabra,ES,75.33,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
169,Buala,SB,83.19,light rain,-8.145,159.5921,Maringe Lagoon Lodge
174,Tuy Hoa,VN,78.08,light rain,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
177,Atar,MR,86.23,broken clouds,20.5169,-13.0499,Oumou Elghoura
178,Puerto Ayacucho,VE,76.98,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
183,Pochutla,MX,84.81,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
188,Muisne,EC,77.59,overcast clouds,0.6,-80.0333,Quinta Samay
191,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
192,Tiarei,PF,86.02,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
197,Sarankhola,BD,82.92,few clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
208,Atambua,ID,78.03,broken clouds,-9.1061,124.8925,Kost Alfa Flat
212,Puerto Carreno,CO,80.71,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
213,Karachi,PK,84.02,smoke,24.9056,67.0822,Sadaat
216,Kieta,PG,84.13,few clouds,-6.2167,155.6333,Uruna Bay Retreat
221,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
229,Tabou,CI,77.85,overcast clouds,4.423,-7.3528,hotêl doufoulougou
230,La Romana,DO,80.96,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
232,Humberto De Campos,BR,75.04,broken clouds,-2.5983,-43.4611,Pousada do Cabeça
237,Morehead,US,83.95,clear sky,37.2711,-87.1764,CCI Express Inn
238,Acarau,BR,77.86,broken clouds,-2.8856,-40.12,castelo pizzaria
245,Champerico,GT,82.94,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
248,Finschhafen,PG,84.49,scattered clouds,-6.6024,147.8681,Cossam Guest House
250,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
252,Gat,IL,81.39,overcast clouds,31.61,34.7642,OlusHome
253,Salalah,OM,84.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
273,Solano,US,86.43,clear sky,38.2333,-121.9511,Westwind Inn
275,Kismayo,SO,79.43,overcast clouds,-0.3582,42.5454,Agan-Hotel
278,Kimbe,PG,87.13,clear sky,-5.5502,150.1429,Kimbe Bay Hotel
279,Padang,ID,77.05,broken clouds,-0.9492,100.3543,Mercure Padang
280,Tecoanapa,MX,83.16,overcast clouds,16.5167,-98.75,Hotel Manglares
286,Kanata,CA,77.04,overcast clouds,45.3159,-75.8985,Brookstreet Hotel
290,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
295,Kouroussa,GN,79.23,broken clouds,10.65,-9.8833,Hotel Tando Plus
301,Acapulco,MX,82.22,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
309,Lorengau,PG,83.71,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
319,Hithadhoo,MV,82.62,broken clouds,-0.6,73.0833,Scoop Guest House
320,Alyangula,AU,83.21,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
325,Muli,MV,83.75,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
326,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
328,Kununurra,AU,84.18,clear sky,-15.7667,128.7333,Hotel Kununurra
330,Tarakan,ID,81.9,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
333,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
335,Trairi,BR,76.55,overcast clouds,-3.2778,-39.2689,janelas do mar
337,Shah Alam,MY,80.31,few clouds,3.0851,101.5328,Concorde Hotel Shah Alam
341,Tabas,IR,79.95,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
342,Crawfordsville,US,82.63,clear sky,40.0411,-86.8745,"Holiday Inn Express & Suites Crawfordsville, an IHG Hotel"
343,Aswan,EG,84.24,clear sky,24.0934,32.907,Nuba Nile
344,Wilmington,US,82.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
