City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
163,Carnarvon,AU,-24.8667,113.6333,68.58,57,0,8.66,clear sky
164,Marystown,CA,47.1666,-55.1483,47.86,100,48,5.21,scattered clouds
165,East London,ZA,-33.0153,27.9116,61.65,72,100,9.69,light rain
166,Cabra,ES,37.4725,-4.4421,75.33,33,100,7.47,overcast clouds
167,Nemuro,JP,43.3236,145.575,48.78,89,2,9.42,clear sky
168,Richards Bay,ZA,-28.783,32.0377,67.17,88,56,11.56,light rain
169,Buala,SB,-8.145,159.5921,83.19,72,21,6.76,light rain
170,Prieska,ZA,-29.6641,22.7474,51.57,74,92,27.34,overcast clouds
171,Havre-Saint-Pierre,CA,50.2334,-63.5986,48.56,66,40,3.44,scattered clouds
172,Constitucion,CL,-35.3333,-72.4167,52.32,84,2,7.02,clear sky
173,Adrar,MR,20.5022,-10.0711,87.49,8,97,5.41,overcast clouds
174,Tuy Hoa,VN,13.0833,109.3,78.08,89,100,5.1,light rain
175,Aksu,CN,41.1231,80.2644,72.3,31,87,9.06,overcast clouds
176,Sosva,RU,59.1766,61.8558,32.83,92,68,2.46,broken clouds
177,Atar,MR,20.5169,-13.0499,86.23,21,81,5.86,broken clouds
178,Puerto Ayacucho,VE,5.6639,-67.6236,76.98,81,38,1.48,scattered clouds
179,Imbituba,BR,-28.24,-48.6703,54.09,97,0,3.49,clear sky
180,Vestmannaeyjar,IS,63.4427,-20.2734,49.8,82,100,3.36,overcast clouds
181,Arraial Do Cabo,BR,-22.9661,-42.0278,68.43,73,22,9.66,few clouds
182,Lao Cai,VN,22.4833,103.95,73.83,100,100,0.56,overcast clouds
183,Pochutla,MX,15.7432,-96.4661,84.81,49,41,10.74,scattered clouds
184,Diamantino,BR,-14.4086,-56.4461,58.32,51,22,1.74,few clouds
185,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,10.36,broken clouds
186,Moyale,KE,3.5167,39.0584,64.36,87,87,6.42,overcast clouds
187,Fortuna,US,40.5982,-124.1573,59.94,70,0,20.71,clear sky
188,Muisne,EC,0.6,-80.0333,77.59,86,96,6.11,overcast clouds
189,Moose Factory,CA,51.2585,-80.6094,60.8,88,75,17.27,broken clouds
190,Avera,US,33.194,-82.5271,85.51,50,94,5.01,overcast clouds
191,Sibu,MY,2.3,111.8167,75.51,94,40,3.44,scattered clouds
192,Tiarei,PF,-17.5333,-149.3333,86.02,71,7,6.04,light rain
193,Ancud,CL,-41.8697,-73.8203,52.12,93,99,17.2,moderate rain
194,Camana,PE,-16.6228,-72.7111,65.59,82,77,7.83,broken clouds
195,Palmer,US,42.1584,-72.3287,68.58,76,75,11.5,broken clouds
196,Caxito,AO,-8.5785,13.6643,66.78,98,1,2.26,clear sky
197,Sarankhola,BD,22.3082,89.7897,82.92,85,13,7.16,few clouds
198,Homer,US,59.6425,-151.5483,61.77,43,0,3.44,clear sky
199,Shilka,RU,51.85,116.0333,62.91,31,13,4.23,few clouds
200,Vagur,FO,61.4732,-6.8119,47.82,94,100,14.18,overcast clouds
201,Pozoblanco,ES,38.3791,-4.8483,70.72,35,100,3.47,overcast clouds
